hhid,region_lib,choc_secheresse,choc_hausse_prix,choc_conflit,choc_maladie,strat_vente_actifs,strat_reduction_repas,strat_migration,strat_endettement
00001,BATHA,1,1,0,1,1,1,1,1
00002,BATHA,0,1,0,0,0,0,0,0
00003,BATHA,1,0,1,0,0,0,0,1
00004,BATHA,0,1,0,0,0,0,0,0
00005,BATHA,0,1,0,1,0,1,0,0
00006,BATHA,0,1,0,0,0,1,0,0
00007,BATHA,0,1,0,0,1,1,0,0
00008,BATHA,1,0,0,1,1,0,0,0
00009,BATHA,0,0,0,1,0,1,1,0
00010,BATHA,0,1,0,0,0,1,0,0
00011,BATHA,1,0,0,0,0,0,0,0
00012,BATHA,0,0,0,0,0,1,0,0
00013,BATHA,0,1,0,1,0,0,0,0
00014,BATHA,0,1,0,0,1,1,0,0
00015,BATHA,0,1,0,0,0,1,0,0
00016,BATHA,0,1,0,0,0,1,0,1
00017,BATHA,0,0,0,0,0,0,1,0
00018,BATHA,1,1,0,0,0,1,0,1
00019,BATHA,1,0,0,0,0,1,0,1
00020,BATHA,0,1,0,0,0,0,0,1
00021,BATHA,0,1,0,0,0,1,0,0
00022,BATHA,0,1,0,1,1,0,0,1
00023,BATHA,0,1,1,0,0,1,0,0
00024,BATHA,0,1,0,1,1,1,1,0
00025,BATHA,0,0,0,0,0,1,0,1
00026,BATHA,0,1,0,0,0,0,0,0
00027,BATHA,0,1,0,0,1,1,0,1
00028,BATHA,0,1,0,0,0,0,0,1
00029,BATHA,0,0,0,0,0,1,0,0
00030,BATHA,0,1,0,1,1,0,1,1
00031,BATHA,1,1,0,0,0,1,0,0
00032,BATHA,0,1,0,0,1,0,0,1
00033,BATHA,0,1,0,0,1,0,0,0
00034,BATHA,0,1,0,0,0,0,0,0
00035,BATHA,0,1,0,0,0,1,0,1
00036,BATHA,1,1,0,0,0,1,0,0
00037,BATHA,0,0,0,0,0,1,0,0
00038,BATHA,0,1,0,1,0,0,0,1
00039,BATHA,0,1,0,0,0,0,0,0
00040,BATHA,0,1,0,1,0,0,0,0
00041,BATHA,1,0,0,0,1,1,0,0
00042,BATHA,0,0,0,1,0,1,0,0
00043,BATHA,0,0,0,0,0,0,0,0
00044,BATHA,0,0,0,0,0,0,0,1
00045,BATHA,0,1,0,0,0,0,0,0
00046,BATHA,0,1,0,0,1,1,0,1
00047,BATHA,0,0,0,1,0,0,0,0
00048,BATHA,1,0,0,0,1,1,0,0
00049,BATHA,0,0,0,1,1,0,0,1
00050,BATHA,0,1,0,0,0,1,0,0
00051,BATHA,0,0,0,0,0,0,0,0
00052,BATHA,0,1,0,1,0,1,1,0
00053,BATHA,0,1,1,0,0,0,1,1
00054,BATHA,0,1,0,0,0,0,0,0
00055,BATHA,0,1,0,0,0,0,0,0
00056,BATHA,0,1,0,0,0,0,0,0
00057,BATHA,1,0,0,0,0,0,0,0
00058,BATHA,0,0,0,0,1,0,0,0
00059,BATHA,0,0,0,0,1,1,0,0
00060,BATHA,0,0,0,0,0,1,0,0
00061,BATHA,1,1,0,0,1,0,0,0
00062,BATHA,0,1,0,1,0,0,0,0
00063,BATHA,0,1,0,0,1,0,0,1
00064,BATHA,0,1,0,0,0,0,0,0
00065,BATHA,0,1,0,0,0,1,0,1
00066,BATHA,1,1,0,0,0,1,1,1
00067,BATHA,0,1,0,0,1,0,0,0
00068,BATHA,0,1,0,1,0,0,0,1
00069,BATHA,0,1,0,1,0,1,0,1
00070,BATHA,1,1,0,0,0,0,0,0
00071,BATHA,0,1,0,0,0,1,0,0
00072,BATHA,0,1,0,0,0,0,0,0
00073,BATHA,0,0,0,0,0,0,0,0
00074,BATHA,0,1,0,0,1,0,0,0
00075,BATHA,1,1,0,0,1,1,0,1
00076,BATHA,0,1,1,0,0,0,0,0
00077,BATHA,0,1,0,0,0,1,0,0
00078,BATHA,0,0,0,0,0,1,0,0
00079,BATHA,1,0,0,1,0,0,0,0
00080,BATHA,0,0,0,1,1,1,0,0
00081,BATHA,0,0,0,0,0,1,0,0
00082,BATHA,0,1,0,0,0,0,0,0
00083,BATHA,1,1,0,0,0,1,0,1
00084,BATHA,1,1,0,0,0,1,0,1
00085,BATHA,0,0,0,1,0,0,0,0
00086,BATHA,1,1,0,0,0,1,0,0
00087,BATHA,1,0,0,0,0,1,0,1
00088,BATHA,1,0,0,0,0,1,0,1
00089,BATHA,0,1,0,0,0,0,0,1
00090,BATHA,0,1,0,0,0,0,0,0
00091,BATHA,1,1,0,0,1,0,0,1
00092,BATHA,0,1,0,0,0,0,1,0
00093,BATHA,0,1,0,0,0,0,0,0
00094,BATHA,0,1,0,0,0,1,0,1
00095,BATHA,0,0,1,0,0,0,0,0
00096,BATHA,1,1,0,0,0,0,0,1
00097,BATHA,0,0,0,0,0,0,0,0
00098,BATHA,1,1,0,0,0,0,0,1
00099,BATHA,1,0,0,0,1,0,0,0
00100,BATHA,1,1,0,1,0,1,0,1
00101,BATHA,0,0,0,1,0,0,1,0
00102,BATHA,0,1,0,1,0,0,0,0
00103,BATHA,1,0,0,0,0,0,0,1
00104,BATHA,1,0,0,1,0,1,0,0
00105,BATHA,1,1,0,0,0,0,0,1
00106,BATHA,1,0,0,0,1,1,0,0
00107,BATHA,0,0,0,0,0,0,0,0
00108,BATHA,0,0,0,0,1,1,0,1
00109,BATHA,1,1,0,0,0,0,0,0
00110,BATHA,0,0,0,0,0,0,0,0
00111,BATHA,1,0,0,0,1,0,0,0
00112,BATHA,0,0,0,0,0,0,0,0
00113,BATHA,0,0,0,0,0,1,0,0
00114,BATHA,1,1,0,1,0,0,0,1
00115,BATHA,1,0,0,0,0,0,0,0
00116,BATHA,1,0,1,0,1,0,0,0
00117,BATHA,1,0,0,0,1,0,1,0
00118,BATHA,0,1,0,0,0,1,1,0
00119,BATHA,1,1,0,0,0,0,0,0
00120,BATHA,1,0,0,0,1,1,1,1
00121,BATHA,1,1,0,1,1,0,0,1
00122,BATHA,1,0,0,0,0,0,0,1
00123,BATHA,1,1,1,1,0,1,0,1
00124,BATHA,1,1,0,0,0,1,1,0
00125,BATHA,0,1,1,0,1,0,0,1
00126,BATHA,0,0,0,0,1,0,0,0
00127,BATHA,1,1,0,1,1,1,0,1
00128,BATHA,0,1,0,0,0,0,0,1
