hhid,rang,age,sexe,niveau_educ
00001,1,51.0,1,Aucun
00001,2,65.0,2,Primaire
00001,3,58.0,2,Secondaire
00001,4,33.0,1,Aucun
00002,1,56.0,1,Primaire
00002,2,43.0,1,Secondaire
00002,3,11.0,1,Primaire
00002,4,38.0,1,Aucun
00002,5,50.0,1,Primaire
00002,6,7.0,1,Secondaire
00002,7,16.0,1,Aucun
00003,1,27.0,2,Aucun
00003,2,16.0,2,Aucun
00003,3,55.0,2,Primaire
00003,4,33.0,1,Superieur
00003,5,35.0,2,Secondaire
00003,6,22.0,2,Secondaire
00004,1,41.0,1,Aucun
00004,2,65.0,2,Aucun
00005,1,46.0,2,Aucun
00006,1,39.0,1,Aucun
00006,2,22.0,2,Primaire
00006,3,74.0,2,Aucun
00007,1,51.0,1,Aucun
00007,2,2.0,1,Aucun
00007,3,57.0,2,Primaire
00007,4,6.0,2,Aucun
00007,5,54.0,1,Secondaire
00007,6,71.0,2,Primaire
00007,7,29.0,2,Primaire
00007,8,31.0,1,Secondaire
00007,9,63.0,2,Secondaire
00007,10,62.0,1,Aucun
00007,11,18.0,1,Secondaire
00007,12,67.0,1,Aucun
00008,1,27.0,1,Aucun
00008,2,64.0,1,Aucun
00008,3,10.0,1,Primaire
00008,4,26.0,1,Aucun
00009,1,43.0,1,Primaire
00009,2,58.0,2,Primaire
00009,3,8.0,1,Primaire
00009,4,45.0,2,Secondaire
00009,5,53.0,1,Primaire
00010,1,41.0,1,Aucun
00010,2,34.0,2,Primaire
00011,1,49.0,1,Secondaire
00011,2,61.0,2,Primaire
00011,3,24.0,1,Aucun
00011,4,41.0,2,Aucun
00011,5,68.0,2,Aucun
00011,6,,2,Secondaire
00012,1,41.0,1,Secondaire
00012,2,72.0,1,Secondaire
00012,3,15.0,1,Primaire
00012,4,44.0,2,Aucun
00012,5,70.0,2,Aucun
00012,6,74.0,1,Primaire
00013,1,41.0,1,Primaire
00013,2,67.0,1,Primaire
00013,3,10.0,1,Aucun
00013,4,16.0,2,Secondaire
