marche,region,produit,mois,prix_fcfa_kg
Ati,Batha,Mil,2024-08-01,248.5
Ati,Batha,Mil,2024-09-01,268.5
Ati,Batha,Mil,2024-10-01,268.0
Ati,Batha,Mil,2024-11-01,266.9
Ati,Batha,Mil,2024-12-01,293.3
Ati,Batha,Mil,2025-01-01,338.4
Ati,Batha,Mil,2025-02-01,327.4
Ati,Batha,Mil,2025-03-01,325.9
Ati,Batha,Mil,2025-04-01,334.2
Ati,Batha,Mil,2025-05-01,499.3
Ati,Batha,Mil,2025-06-01,440.7
Ati,Batha,Mil,2025-07-01,399.7
Ati,Batha,Mil,2025-08-01,402.3
Ati,Batha,Mil,2025-09-01,392.3
Ati,Batha,Mil,2025-10-01,397.6
Ati,Batha,Mil,2025-11-01,395.2
Ati,Batha,Mil,2025-12-01,420.1
Ati,Batha,Mil,2026-01-01,445.9
Ati,Batha,Mil,2026-02-01,452.1
Ati,Batha,Mil,2026-03-01,477.1
Ati,Batha,Mil,2026-04-01,523.1
Ati,Batha,Mil,2026-05-01,434.2
Ati,Batha,Mil,2026-06-01,437.3
Ati,Batha,Mil,2026-07-01,419.2
Ati,Batha,Sorgho,2024-08-01,262.6
Ati,Batha,Sorgho,2024-09-01,218.3
Ati,Batha,Sorgho,2024-10-01,263.8
Ati,Batha,Sorgho,2024-11-01,251.1
Ati,Batha,Sorgho,2024-12-01,266.4
Ati,Batha,Sorgho,2025-01-01,273.0
Ati,Batha,Sorgho,2025-02-01,321.3
Ati,Batha,Sorgho,2025-03-01,301.7
Ati,Batha,Sorgho,2025-04-01,308.5
Ati,Batha,Sorgho,2025-05-01,374.7
Ati,Batha,Sorgho,2025-06-01,400.0
Ati,Batha,Sorgho,2025-07-01,369.5
Ati,Batha,Sorgho,2025-08-01,374.5
Ati,Batha,Sorgho,2025-09-01,342.2
Ati,Batha,Sorgho,2025-10-01,358.1
Ati,Batha,Sorgho,2025-11-01,378.2
Ati,Batha,Sorgho,2025-12-01,408.5
Ati,Batha,Sorgho,2026-01-01,475.6
Ati,Batha,Sorgho,2026-02-01,470.4
Ati,Batha,Sorgho,2026-03-01,434.8
Ati,Batha,Sorgho,2026-04-01,411.8
Ati,Batha,Sorgho,2026-05-01,412.1
Ati,Batha,Sorgho,2026-06-01,403.6
Ati,Batha,Sorgho,2026-07-01,436.0
Ati,Batha,Mais,2024-08-01,231.4
Ati,Batha,Mais,2024-09-01,220.1
Ati,Batha,Mais,2024-10-01,232.6
Ati,Batha,Mais,2024-11-01,220.4
Ati,Batha,Mais,2024-12-01,245.2
Ati,Batha,Mais,2025-01-01,288.2
Ati,Batha,Mais,2025-02-01,265.0
Ati,Batha,Mais,2025-03-01,282.7
Ati,Batha,Mais,2025-04-01,296.4
Ati,Batha,Mais,2025-05-01,371.1
Ati,Batha,Mais,2025-06-01,392.0
Ati,Batha,Mais,2025-07-01,322.7
Ati,Batha,Mais,2025-08-01,318.3
Ati,Batha,Mais,2025-09-01,336.1
Ati,Batha,Mais,2025-10-01,311.6
Ati,Batha,Mais,2025-11-01,356.3
Ati,Batha,Mais,2025-12-01,340.3
Ati,Batha,Mais,2026-01-01,413.2
Ati,Batha,Mais,2026-02-01,424.6
Ati,Batha,Mais,2026-03-01,433.2
Ati,Batha,Mais,2026-04-01,438.7
Ati,Batha,Mais,2026-05-01,411.2
Ati,Batha,Mais,2026-06-01,388.6
Ati,Batha,Mais,2026-07-01,372.6
Ati,Batha,Riz_importe,2024-08-01,409.1
Ati,Batha,Riz_importe,2024-09-01,351.1
Ati,Batha,Riz_importe,2024-10-01,394.5
Ati,Batha,Riz_importe,2024-11-01,427.6
Ati,Batha,Riz_importe,2024-12-01,427.2
Ati,Batha,Riz_importe,2025-01-01,532.9
Ati,Batha,Riz_importe,2025-02-01,510.8
Ati,Batha,Riz_importe,2025-03-01,522.5
Ati,Batha,Riz_importe,2025-04-01,504.5
Ati,Batha,Riz_importe,2025-05-01,693.6
Ati,Batha,Riz_importe,2025-06-01,543.6
Ati,Batha,Riz_importe,2025-07-01,636.7
Ati,Batha,Riz_importe,2025-08-01,557.7
Ati,Batha,Riz_importe,2025-09-01,596.3
Ati,Batha,Riz_importe,2025-10-01,563.2
Ati,Batha,Riz_importe,2025-11-01,605.3
Ati,Batha,Riz_importe,2025-12-01,585.7
Ati,Batha,Riz_importe,2026-01-01,725.8
Ati,Batha,Riz_importe,2026-02-01,754.8
Ati,Batha,Riz_importe,2026-03-01,738.9
Ati,Batha,Riz_importe,2026-04-01,721.3
Ati,Batha,Riz_importe,2026-05-01,655.3
Ati,Batha,Riz_importe,2026-06-01,670.6
Ati,Batha,Riz_importe,2026-07-01,638.8
Faya-Largeau,Borkou,Mil,2024-08-01,266.6
Faya-Largeau,Borkou,Mil,2024-09-01,264.0
Faya-Largeau,Borkou,Mil,2024-10-01,271.9
Faya-Largeau,Borkou,Mil,2024-11-01,284.9
Faya-Largeau,Borkou,Mil,2024-12-01,282.8
Faya-Largeau,Borkou,Mil,2025-01-01,339.3
Faya-Largeau,Borkou,Mil,2025-02-01,330.1
Faya-Largeau,Borkou,Mil,2025-03-01,357.9
Faya-Largeau,Borkou,Mil,2025-04-01,374.8
Faya-Largeau,Borkou,Mil,2025-05-01,429.9
Faya-Largeau,Borkou,Mil,2025-06-01,419.4
Faya-Largeau,Borkou,Mil,2025-07-01,384.1
Faya-Largeau,Borkou,Mil,2025-08-01,409.0
Faya-Largeau,Borkou,Mil,2025-09-01,377.0
Faya-Largeau,Borkou,Mil,2025-10-01,428.9
Faya-Largeau,Borkou,Mil,2025-11-01,407.3
Faya-Largeau,Borkou,Mil,2025-12-01,422.4
Faya-Largeau,Borkou,Mil,2026-01-01,493.0
Faya-Largeau,Borkou,Mil,2026-02-01,507.5
Faya-Largeau,Borkou,Mil,2026-03-01,495.3
Faya-Largeau,Borkou,Mil,2026-04-01,490.1
Faya-Largeau,Borkou,Mil,2026-05-01,497.7
Faya-Largeau,Borkou,Mil,2026-06-01,466.2
Faya-Largeau,Borkou,Mil,2026-07-01,438.2
Faya-Largeau,Borkou,Sorgho,2024-08-01,259.4
Faya-Largeau,Borkou,Sorgho,2024-09-01,236.9
Faya-Largeau,Borkou,Sorgho,2024-10-01,246.2
Faya-Largeau,Borkou,Sorgho,2024-11-01,245.1
Faya-Largeau,Borkou,Sorgho,2024-12-01,270.5
Faya-Largeau,Borkou,Sorgho,2025-01-01,341.5
Faya-Largeau,Borkou,Sorgho,2025-02-01,321.7
Faya-Largeau,Borkou,Sorgho,2025-03-01,319.3
Faya-Largeau,Borkou,Sorgho,2025-04-01,309.3
Faya-Largeau,Borkou,Sorgho,2025-05-01,425.4
Faya-Largeau,Borkou,Sorgho,2025-06-01,365.8
Faya-Largeau,Borkou,Sorgho,2025-07-01,356.5
Faya-Largeau,Borkou,Sorgho,2025-08-01,366.6
Faya-Largeau,Borkou,Sorgho,2025-09-01,345.4
Faya-Largeau,Borkou,Sorgho,2025-10-01,372.0
Faya-Largeau,Borkou,Sorgho,2025-11-01,386.0
Faya-Largeau,Borkou,Sorgho,2025-12-01,338.6
Faya-Largeau,Borkou,Sorgho,2026-01-01,444.6
Faya-Largeau,Borkou,Sorgho,2026-02-01,485.8
Faya-Largeau,Borkou,Sorgho,2026-03-01,482.3
Faya-Largeau,Borkou,Sorgho,2026-04-01,467.5
Faya-Largeau,Borkou,Sorgho,2026-05-01,473.6
Faya-Largeau,Borkou,Sorgho,2026-06-01,409.7
Faya-Largeau,Borkou,Sorgho,2026-07-01,447.9
Faya-Largeau,Borkou,Mais,2024-08-01,224.1
Faya-Largeau,Borkou,Mais,2024-09-01,230.8
Faya-Largeau,Borkou,Mais,2024-10-01,236.0
Faya-Largeau,Borkou,Mais,2024-11-01,221.5
Faya-Largeau,Borkou,Mais,2024-12-01,241.3
Faya-Largeau,Borkou,Mais,2025-01-01,274.1
Faya-Largeau,Borkou,Mais,2025-02-01,267.0
Faya-Largeau,Borkou,Mais,2025-03-01,325.3
Faya-Largeau,Borkou,Mais,2025-04-01,316.2
Faya-Largeau,Borkou,Mais,2025-05-01,385.6
Faya-Largeau,Borkou,Mais,2025-06-01,352.1
Faya-Largeau,Borkou,Mais,2025-07-01,326.3
Faya-Largeau,Borkou,Mais,2025-08-01,324.6
Faya-Largeau,Borkou,Mais,2025-09-01,336.3
Faya-Largeau,Borkou,Mais,2025-10-01,312.5
Faya-Largeau,Borkou,Mais,2025-11-01,363.4
Faya-Largeau,Borkou,Mais,2025-12-01,397.8
Faya-Largeau,Borkou,Mais,2026-01-01,398.1
Faya-Largeau,Borkou,Mais,2026-02-01,424.4
Faya-Largeau,Borkou,Mais,2026-03-01,425.4
Faya-Largeau,Borkou,Mais,2026-04-01,374.4
Faya-Largeau,Borkou,Mais,2026-05-01,421.5
Faya-Largeau,Borkou,Mais,2026-06-01,422.0
Faya-Largeau,Borkou,Mais,2026-07-01,366.1
Faya-Largeau,Borkou,Riz_importe,2024-08-01,425.6
Faya-Largeau,Borkou,Riz_importe,2024-09-01,391.4
Faya-Largeau,Borkou,Riz_importe,2024-10-01,388.9
Faya-Largeau,Borkou,Riz_importe,2024-11-01,396.0
Faya-Largeau,Borkou,Riz_importe,2024-12-01,425.1
Faya-Largeau,Borkou,Riz_importe,2025-01-01,532.8
Faya-Largeau,Borkou,Riz_importe,2025-02-01,504.3
Faya-Largeau,Borkou,Riz_importe,2025-03-01,555.4
Faya-Largeau,Borkou,Riz_importe,2025-04-01,516.4
Faya-Largeau,Borkou,Riz_importe,2025-05-01,652.0
Faya-Largeau,Borkou,Riz_importe,2025-06-01,631.3
Faya-Largeau,Borkou,Riz_importe,2025-07-01,650.7
Faya-Largeau,Borkou,Riz_importe,2025-08-01,571.2
Faya-Largeau,Borkou,Riz_importe,2025-09-01,570.8
Faya-Largeau,Borkou,Riz_importe,2025-10-01,600.2
Faya-Largeau,Borkou,Riz_importe,2025-11-01,648.6
Faya-Largeau,Borkou,Riz_importe,2025-12-01,623.1
Faya-Largeau,Borkou,Riz_importe,2026-01-01,740.2
Faya-Largeau,Borkou,Riz_importe,2026-02-01,741.5
Faya-Largeau,Borkou,Riz_importe,2026-03-01,760.8
Faya-Largeau,Borkou,Riz_importe,2026-04-01,720.5
Faya-Largeau,Borkou,Riz_importe,2026-05-01,761.9
Faya-Largeau,Borkou,Riz_importe,2026-06-01,757.4
Faya-Largeau,Borkou,Riz_importe,2026-07-01,687.5
Massenya,Chari Baguirmi,Mil,2024-08-01,313.1
Massenya,Chari Baguirmi,Mil,2024-09-01,261.0
Massenya,Chari Baguirmi,Mil,2024-10-01,268.6
Massenya,Chari Baguirmi,Mil,2024-11-01,292.6
Massenya,Chari Baguirmi,Mil,2024-12-01,283.0
Massenya,Chari Baguirmi,Mil,2025-01-01,308.3
Massenya,Chari Baguirmi,Mil,2025-02-01,314.6
Massenya,Chari Baguirmi,Mil,2025-03-01,353.4
Massenya,Chari Baguirmi,Mil,2025-04-01,321.1
Massenya,Chari Baguirmi,Mil,2025-05-01,436.8
Massenya,Chari Baguirmi,Mil,2025-06-01,409.5
Massenya,Chari Baguirmi,Mil,2025-07-01,428.7
Massenya,Chari Baguirmi,Mil,2025-08-01,379.5
Massenya,Chari Baguirmi,Mil,2025-09-01,409.3
Massenya,Chari Baguirmi,Mil,2025-10-01,382.1
Massenya,Chari Baguirmi,Mil,2025-11-01,387.2
Massenya,Chari Baguirmi,Mil,2025-12-01,430.2
Massenya,Chari Baguirmi,Mil,2026-01-01,469.5
Massenya,Chari Baguirmi,Mil,2026-02-01,517.5
Massenya,Chari Baguirmi,Mil,2026-03-01,511.4
Massenya,Chari Baguirmi,Mil,2026-04-01,451.7
Massenya,Chari Baguirmi,Mil,2026-05-01,505.0
Massenya,Chari Baguirmi,Mil,2026-06-01,417.8
Massenya,Chari Baguirmi,Mil,2026-07-01,406.0
Massenya,Chari Baguirmi,Sorgho,2024-08-01,262.5
Massenya,Chari Baguirmi,Sorgho,2024-09-01,237.3
Massenya,Chari Baguirmi,Sorgho,2024-10-01,255.8
Massenya,Chari Baguirmi,Sorgho,2024-11-01,252.2
Massenya,Chari Baguirmi,Sorgho,2024-12-01,268.6
Massenya,Chari Baguirmi,Sorgho,2025-01-01,271.5
Massenya,Chari Baguirmi,Sorgho,2025-02-01,268.7
Massenya,Chari Baguirmi,Sorgho,2025-03-01,311.1
Massenya,Chari Baguirmi,Sorgho,2025-04-01,328.6
Massenya,Chari Baguirmi,Sorgho,2025-05-01,411.7
Massenya,Chari Baguirmi,Sorgho,2025-06-01,370.1
Massenya,Chari Baguirmi,Sorgho,2025-07-01,361.8
Massenya,Chari Baguirmi,Sorgho,2025-08-01,338.8
Massenya,Chari Baguirmi,Sorgho,2025-09-01,350.5
Massenya,Chari Baguirmi,Sorgho,2025-10-01,334.0
Massenya,Chari Baguirmi,Sorgho,2025-11-01,359.6
Massenya,Chari Baguirmi,Sorgho,2025-12-01,403.2
Massenya,Chari Baguirmi,Sorgho,2026-01-01,425.1
Massenya,Chari Baguirmi,Sorgho,2026-02-01,469.7
Massenya,Chari Baguirmi,Sorgho,2026-03-01,430.6
Massenya,Chari Baguirmi,Sorgho,2026-04-01,422.3
Massenya,Chari Baguirmi,Sorgho,2026-05-01,430.1
Massenya,Chari Baguirmi,Sorgho,2026-06-01,408.1
Massenya,Chari Baguirmi,Sorgho,2026-07-01,409.8
Massenya,Chari Baguirmi,Mais,2024-08-01,226.8
Massenya,Chari Baguirmi,Mais,2024-09-01,233.3
Massenya,Chari Baguirmi,Mais,2024-10-01,237.9
Massenya,Chari Baguirmi,Mais,2024-11-01,211.1
Massenya,Chari Baguirmi,Mais,2024-12-01,219.9
Massenya,Chari Baguirmi,Mais,2025-01-01,258.1
Massenya,Chari Baguirmi,Mais,2025-02-01,284.9
Massenya,Chari Baguirmi,Mais,2025-03-01,305.4
Massenya,Chari Baguirmi,Mais,2025-04-01,280.8
Massenya,Chari Baguirmi,Mais,2025-05-01,356.3
Massenya,Chari Baguirmi,Mais,2025-06-01,355.9
Massenya,Chari Baguirmi,Mais,2025-07-01,356.1
Massenya,Chari Baguirmi,Mais,2025-08-01,321.0
Massenya,Chari Baguirmi,Mais,2025-09-01,320.2
Massenya,Chari Baguirmi,Mais,2025-10-01,317.9
Massenya,Chari Baguirmi,Mais,2025-11-01,347.5
Massenya,Chari Baguirmi,Mais,2025-12-01,340.0
Massenya,Chari Baguirmi,Mais,2026-01-01,406.0
Massenya,Chari Baguirmi,Mais,2026-02-01,433.5
Massenya,Chari Baguirmi,Mais,2026-03-01,395.9
Massenya,Chari Baguirmi,Mais,2026-04-01,388.7
Massenya,Chari Baguirmi,Mais,2026-05-01,378.9
Massenya,Chari Baguirmi,Mais,2026-06-01,383.1
Massenya,Chari Baguirmi,Mais,2026-07-01,324.9
Massenya,Chari Baguirmi,Riz_importe,2024-08-01,438.7
Massenya,Chari Baguirmi,Riz_importe,2024-09-01,406.3
Massenya,Chari Baguirmi,Riz_importe,2024-10-01,419.2
Massenya,Chari Baguirmi,Riz_importe,2024-11-01,395.0
Massenya,Chari Baguirmi,Riz_importe,2024-12-01,449.5
Massenya,Chari Baguirmi,Riz_importe,2025-01-01,463.0
Massenya,Chari Baguirmi,Riz_importe,2025-02-01,478.7
Massenya,Chari Baguirmi,Riz_importe,2025-03-01,479.1
Massenya,Chari Baguirmi,Riz_importe,2025-04-01,501.4
Massenya,Chari Baguirmi,Riz_importe,2025-05-01,608.4
Massenya,Chari Baguirmi,Riz_importe,2025-06-01,596.4
Massenya,Chari Baguirmi,Riz_importe,2025-07-01,607.9
Massenya,Chari Baguirmi,Riz_importe,2025-08-01,534.2
Massenya,Chari Baguirmi,Riz_importe,2025-09-01,556.5
Massenya,Chari Baguirmi,Riz_importe,2025-10-01,568.5
Massenya,Chari Baguirmi,Riz_importe,2025-11-01,593.4
Massenya,Chari Baguirmi,Riz_importe,2025-12-01,610.1
Massenya,Chari Baguirmi,Riz_importe,2026-01-01,673.5
Massenya,Chari Baguirmi,Riz_importe,2026-02-01,756.2
Massenya,Chari Baguirmi,Riz_importe,2026-03-01,727.5
Massenya,Chari Baguirmi,Riz_importe,2026-04-01,675.7
Massenya,Chari Baguirmi,Riz_importe,2026-05-01,660.0
Massenya,Chari Baguirmi,Riz_importe,2026-06-01,639.3
Massenya,Chari Baguirmi,Riz_importe,2026-07-01,603.8
Am-Djarass,Ennedi Est,Mil,2024-08-01,279.7
Am-Djarass,Ennedi Est,Mil,2024-09-01,261.6
Am-Djarass,Ennedi Est,Mil,2024-10-01,270.0
Am-Djarass,Ennedi Est,Mil,2024-11-01,262.7
Am-Djarass,Ennedi Est,Mil,2024-12-01,312.1
Am-Djarass,Ennedi Est,Mil,2025-01-01,323.2
Am-Djarass,Ennedi Est,Mil,2025-02-01,327.3
Am-Djarass,Ennedi Est,Mil,2025-03-01,338.2
Am-Djarass,Ennedi Est,Mil,2025-04-01,360.9
Am-Djarass,Ennedi Est,Mil,2025-05-01,433.5
Am-Djarass,Ennedi Est,Mil,2025-06-01,432.3
Am-Djarass,Ennedi Est,Mil,2025-07-01,400.0
Am-Djarass,Ennedi Est,Mil,2025-08-01,377.0
Am-Djarass,Ennedi Est,Mil,2025-09-01,371.2
Am-Djarass,Ennedi Est,Mil,2025-10-01,414.2
Am-Djarass,Ennedi Est,Mil,2025-11-01,385.3
Am-Djarass,Ennedi Est,Mil,2025-12-01,434.0
Am-Djarass,Ennedi Est,Mil,2026-01-01,498.1
Am-Djarass,Ennedi Est,Mil,2026-02-01,497.6
Am-Djarass,Ennedi Est,Mil,2026-03-01,528.3
Am-Djarass,Ennedi Est,Mil,2026-04-01,553.1
Am-Djarass,Ennedi Est,Mil,2026-05-01,457.2
Am-Djarass,Ennedi Est,Mil,2026-06-01,469.6
Am-Djarass,Ennedi Est,Mil,2026-07-01,442.7
Am-Djarass,Ennedi Est,Sorgho,2024-08-01,266.2
Am-Djarass,Ennedi Est,Sorgho,2024-09-01,232.9
Am-Djarass,Ennedi Est,Sorgho,2024-10-01,248.5
Am-Djarass,Ennedi Est,Sorgho,2024-11-01,281.9
Am-Djarass,Ennedi Est,Sorgho,2024-12-01,261.3
Am-Djarass,Ennedi Est,Sorgho,2025-01-01,290.6
Am-Djarass,Ennedi Est,Sorgho,2025-02-01,296.6
Am-Djarass,Ennedi Est,Sorgho,2025-03-01,302.3
Am-Djarass,Ennedi Est,Sorgho,2025-04-01,311.9
Am-Djarass,Ennedi Est,Sorgho,2025-05-01,394.6
Am-Djarass,Ennedi Est,Sorgho,2025-06-01,399.4
Am-Djarass,Ennedi Est,Sorgho,2025-07-01,361.4
Am-Djarass,Ennedi Est,Sorgho,2025-08-01,395.3
Am-Djarass,Ennedi Est,Sorgho,2025-09-01,339.7
Am-Djarass,Ennedi Est,Sorgho,2025-10-01,348.7
Am-Djarass,Ennedi Est,Sorgho,2025-11-01,319.5
Am-Djarass,Ennedi Est,Sorgho,2025-12-01,411.2
Am-Djarass,Ennedi Est,Sorgho,2026-01-01,465.9
Am-Djarass,Ennedi Est,Sorgho,2026-02-01,447.2
Am-Djarass,Ennedi Est,Sorgho,2026-03-01,443.7
Am-Djarass,Ennedi Est,Sorgho,2026-04-01,486.8
Am-Djarass,Ennedi Est,Sorgho,2026-05-01,417.9
Am-Djarass,Ennedi Est,Sorgho,2026-06-01,425.1
Am-Djarass,Ennedi Est,Sorgho,2026-07-01,414.8
Am-Djarass,Ennedi Est,Mais,2024-08-01,221.9
Am-Djarass,Ennedi Est,Mais,2024-09-01,221.3
Am-Djarass,Ennedi Est,Mais,2024-10-01,233.3
Am-Djarass,Ennedi Est,Mais,2024-11-01,255.1
Am-Djarass,Ennedi Est,Mais,2024-12-01,245.8
Am-Djarass,Ennedi Est,Mais,2025-01-01,288.7
Am-Djarass,Ennedi Est,Mais,2025-02-01,297.9
Am-Djarass,Ennedi Est,Mais,2025-03-01,294.4
Am-Djarass,Ennedi Est,Mais,2025-04-01,292.4
Am-Djarass,Ennedi Est,Mais,2025-05-01,331.6
Am-Djarass,Ennedi Est,Mais,2025-06-01,408.2
Am-Djarass,Ennedi Est,Mais,2025-07-01,348.8
Am-Djarass,Ennedi Est,Mais,2025-08-01,347.7
Am-Djarass,Ennedi Est,Mais,2025-09-01,344.0
Am-Djarass,Ennedi Est,Mais,2025-10-01,311.7
Am-Djarass,Ennedi Est,Mais,2025-11-01,354.8
Am-Djarass,Ennedi Est,Mais,2025-12-01,386.3
Am-Djarass,Ennedi Est,Mais,2026-01-01,410.4
Am-Djarass,Ennedi Est,Mais,2026-02-01,350.1
Am-Djarass,Ennedi Est,Mais,2026-03-01,434.2
Am-Djarass,Ennedi Est,Mais,2026-04-01,406.7
Am-Djarass,Ennedi Est,Mais,2026-05-01,430.3
Am-Djarass,Ennedi Est,Mais,2026-06-01,399.5
Am-Djarass,Ennedi Est,Mais,2026-07-01,363.8
Am-Djarass,Ennedi Est,Riz_importe,2024-08-01,412.9
Am-Djarass,Ennedi Est,Riz_importe,2024-09-01,367.7
Am-Djarass,Ennedi Est,Riz_importe,2024-10-01,390.4
Am-Djarass,Ennedi Est,Riz_importe,2024-11-01,397.6
Am-Djarass,Ennedi Est,Riz_importe,2024-12-01,423.9
Am-Djarass,Ennedi Est,Riz_importe,2025-01-01,482.7
Am-Djarass,Ennedi Est,Riz_importe,2025-02-01,542.1
Am-Djarass,Ennedi Est,Riz_importe,2025-03-01,524.2
Am-Djarass,Ennedi Est,Riz_importe,2025-04-01,440.9
Am-Djarass,Ennedi Est,Riz_importe,2025-05-01,654.0
Am-Djarass,Ennedi Est,Riz_importe,2025-06-01,676.8
Am-Djarass,Ennedi Est,Riz_importe,2025-07-01,591.6
Am-Djarass,Ennedi Est,Riz_importe,2025-08-01,558.7
Am-Djarass,Ennedi Est,Riz_importe,2025-09-01,636.1
Am-Djarass,Ennedi Est,Riz_importe,2025-10-01,580.2
Am-Djarass,Ennedi Est,Riz_importe,2025-11-01,662.7
Am-Djarass,Ennedi Est,Riz_importe,2025-12-01,660.9
Am-Djarass,Ennedi Est,Riz_importe,2026-01-01,738.1
Am-Djarass,Ennedi Est,Riz_importe,2026-02-01,692.3
Am-Djarass,Ennedi Est,Riz_importe,2026-03-01,756.4
Am-Djarass,Ennedi Est,Riz_importe,2026-04-01,750.6
Am-Djarass,Ennedi Est,Riz_importe,2026-05-01,716.3
Am-Djarass,Ennedi Est,Riz_importe,2026-06-01,709.1
Am-Djarass,Ennedi Est,Riz_importe,2026-07-01,599.9
Fada,Ennedi Ouest,Mil,2024-08-01,260.7
Fada,Ennedi Ouest,Mil,2024-09-01,280.6
Fada,Ennedi Ouest,Mil,2024-10-01,278.5
Fada,Ennedi Ouest,Mil,2024-11-01,290.8
Fada,Ennedi Ouest,Mil,2024-12-01,290.0
Fada,Ennedi Ouest,Mil,2025-01-01,342.1
Fada,Ennedi Ouest,Mil,2025-02-01,360.3
Fada,Ennedi Ouest,Mil,2025-03-01,334.1
Fada,Ennedi Ouest,Mil,2025-04-01,319.9
Fada,Ennedi Ouest,Mil,2025-05-01,440.3
Fada,Ennedi Ouest,Mil,2025-06-01,437.5
Fada,Ennedi Ouest,Mil,2025-07-01,438.0
Fada,Ennedi Ouest,Mil,2025-08-01,386.2
Fada,Ennedi Ouest,Mil,2025-09-01,399.4
Fada,Ennedi Ouest,Mil,2025-10-01,397.5
Fada,Ennedi Ouest,Mil,2025-11-01,404.5
Fada,Ennedi Ouest,Mil,2025-12-01,407.2
Fada,Ennedi Ouest,Mil,2026-01-01,490.0
Fada,Ennedi Ouest,Mil,2026-02-01,501.9
Fada,Ennedi Ouest,Mil,2026-03-01,549.5
Fada,Ennedi Ouest,Mil,2026-04-01,469.3
Fada,Ennedi Ouest,Mil,2026-05-01,479.2
Fada,Ennedi Ouest,Mil,2026-06-01,473.0
Fada,Ennedi Ouest,Mil,2026-07-01,407.7
Fada,Ennedi Ouest,Sorgho,2024-08-01,257.9
Fada,Ennedi Ouest,Sorgho,2024-09-01,228.1
Fada,Ennedi Ouest,Sorgho,2024-10-01,266.8
Fada,Ennedi Ouest,Sorgho,2024-11-01,261.8
Fada,Ennedi Ouest,Sorgho,2024-12-01,261.1
Fada,Ennedi Ouest,Sorgho,2025-01-01,306.3
Fada,Ennedi Ouest,Sorgho,2025-02-01,306.6
Fada,Ennedi Ouest,Sorgho,2025-03-01,294.7
